STON,"StoneMor Partners LP Common Unit Rep Limited &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:STON,1.32,14.33,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=STON&f=opdr1y&e=.csv"",""open"":""9.30"",""close"":""9.32"",""dividend"":""1.32"",""div paydate"":""5\/15\/2017"",""div yield"":""14.33""}",14553.472987872
SUN,"Sunoco LP Common Units representing limited partner &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SUN,3.30,11.07,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SUN&f=opdr1y&e=.csv"",""open"":""30.18"",""close"":""30.23"",""dividend"":""3.30"",""div paydate"":""5\/16\/2017"",""div yield"":""11.07""}",36383.68246968
SWNC,"Southwestern Energy Company Depositary Shares &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SWNC,3.12,20.46,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SWNC&f=opdr1y&e=.csv"",""open"":""15.34"",""close"":""15.19"",""dividend"":""3.12"",""div paydate"":""4\/17\/2017"",""div yield"":""20.46""}",34399.117971334
SXCP,"SunCoke Energy Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SXCP,2.38,14.27,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SXCP&f=opdr1y&e=.csv"",""open"":""17.20"",""close"":""17.10"",""dividend"":""2.38"",""div paydate"":""6\/1\/2017"",""div yield"":""14.27""}",26240.352811466
TCAP,"Triangle Capital Corporation",https://www.nyse.com/quote/XNYS:TCAP,1.80,10.10,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=TCAP&f=opdr1y&e=.csv"",""open"":""18.14"",""close"":""18.10"",""dividend"":""1.80"",""div paydate"":""6\/21\/2017"",""div yield"":""10.10""}",19845.644983462
TEF,"Telefonica SA",https://www.nyse.com/quote/XNYS:TEF,1.18,10.54,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=TEF&f=opdr1y&e=.csv"",""open"":""11.31"",""close"":""11.23"",""dividend"":""1.18"",""div paydate"":""12\/9\/2016"",""div yield"":""10.54""}",13009.922822492
TOO,"Teekay Offshore Partners LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:TOO,0.44,14.06,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=TOO&f=opdr1y&e=.csv"",""open"":""3.38"",""close"":""3.42"",""dividend"":""0.44"",""div paydate"":""5\/12\/2017"",""div yield"":""14.06""}",4851.157662624
TPVG,"TriplePoint Venture Growth BDC Corp.",https://www.nyse.com/quote/XNYS:TPVG,1.44,11.01,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=TPVG&f=opdr1y&e=.csv"",""open"":""13.23"",""close"":""13.19"",""dividend"":""1.44"",""div paydate"":""6\/16\/2017"",""div yield"":""11.01""}",15876.51598677
UAN,"CVR Partners, LP Common Units representing Limited &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:UAN,0.46,12.01,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=UAN&f=opdr1y&e=.csv"",""open"":""3.89"",""close"":""3.89"",""dividend"":""0.46"",""div paydate"":""5\/15\/2017"",""div yield"":""12.01""}",5071.6648291069
USAC,"USA Compression Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:USAC,2.10,13.66,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=USAC&f=opdr1y&e=.csv"",""open"":""15.88"",""close"":""15.90"",""dividend"":""2.10"",""div paydate"":""5\/12\/2017"",""div yield"":""13.66""}",23153.252480706
VOC,"VOC Energy Trust Units of Beneficial Interest",https://www.nyse.com/quote/XNYS:VOC,0.480,11.030,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=VOC&f=opdr1y&e=.csv"",""open"":""4.370"",""close"":""4.440"",""dividend"":""0.480"",""div paydate"":""5\/12\/2017"",""div yield"":""11.030""}",5292.1719955899
WDR,"Waddell &amp;amp; Reed Financial, Inc.",https://www.nyse.com/quote/XNYS:WDR,1.84,10.99,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=WDR&f=opdr1y&e=.csv"",""open"":""17.27"",""close"":""17.33"",""dividend"":""1.84"",""div paydate"":""5\/1\/2017"",""div yield"":""10.99""}",20286.659316428
WMLP,"Westmoreland Resource Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:WMLP,0.53,16.61,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=WMLP&f=opdr1y&e=.csv"",""open"":""3.33"",""close"":""3.33"",""dividend"":""0.53"",""div paydate"":""5\/15\/2017"",""div yield"":""16.61""}",5843.4399117971
