Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SPLK,Splunk Inc.,62.4499,$8.64B,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
SPOK,"Spok Holdings, Inc.",17.9,$367.5M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/spok
SPWH,"Sportsman&#39;s Warehouse Holdings, Inc.",5.885,$250.28M,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spwh
SBPH,"Spring Bank Pharmaceuticals, Inc.",14.15,$133.24M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sbph
FUND,"Sprott Focus Trust, Inc.",7.64,$186.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fund
SFM,"Sprouts Farmers Market, Inc.",24.48,$3.37B,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm
SPSC,"SPS Commerce, Inc.",59.85,$1.03B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc
SSNC,"SS&C Technologies Holdings, Inc.",38.625,$7.88B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc
STAA,STAAR Surgical Company,9.4,$384.76M,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa
STAF,"Staffing 360 Solutions, Inc.",0.73,$10.69M,1996,Technology,Professional Services,http://www.nasdaq.com/symbol/staf
STMP,Stamps.com Inc.,140.4,$2.38B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/stmp
STLY,"Stanley Furniture Company, Inc.",1.19,$17.46M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/stly
SPLS,"Staples, Inc.",9.1,$5.94B,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls
SBLK,Star Bulk Carriers Corp.,7.925,$499.82M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblk
SBLKL,Star Bulk Carriers Corp.,24.5,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblkl
SBUX,Starbucks Corporation,64.545,$93.47B,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux
STFC,State Auto Financial Corporation,25.3,$1.06B,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc
STBZ,State Bank Financial Corporation.,25.7,$1B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz
SNC,"State National Companies, Inc.",18.06,$761.65M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/snc
STDY,SteadyMed Ltd.,7.15,$179.98M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stdy
GASS,"StealthGas, Inc.",3.2,$127.55M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gass
STLD,"Steel Dynamics, Inc.",34.3599,$8.31B,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
SMRT,"Stein Mart, Inc.",1.42,$67M,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/smrt
STLR,Stellar Acquisition III Inc.,10.03,$90.37M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/stlr
STLRU,Stellar Acquisition III Inc.,10.43,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/stlru
STLRW,Stellar Acquisition III Inc.,0.325,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/stlrw
SBOT,"Stellar Biotechnologies, Inc.",1.21,$12.26M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sbot
STML,"Stemline Therapeutics, Inc.",7.9,$198.41M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stml
SRCL,"Stericycle, Inc.",82.29,$7.02B,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
SRCLP,"Stericycle, Inc.",69.68,n/a,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srclp
STRL,Sterling Construction Company Inc,10.53,$284.07M,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl
SHOO,"Steven Madden, Ltd.",38.725,$2.3B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo
SSFN,Stewardship Financial Corp,9.45,$81.67M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn
SYBT,"Stock Yards Bancorp, Inc.",37.15,$841.83M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt
BANX,StoneCastle Financial Corp,19.91,$130.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banx
SGBK,Stonegate Bank,45.36,$647.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgbk
